Number,Gene_ID,Name,
1,11970903,nitrogenase iron protein [Methanocella conradii HZ254],
2,9742706,nitrogenase iron protein [Methanolacinia petrolearia DSM 11571],
3,5144036,nitrogenase iron protein [Methanocella arvoryzae MRE50],
4,5411589,nitrogenase iron protein [Methanoregula boonei 6A8],
5,31573395,nitrogenase iron protein [Paenibacillus odorifer],
6,25012506,nitrogenase iron protein [Sinorhizobium meliloti GR4],
7,66135341,nitrogenase iron protein [Methanosarcina mazei],
8,66132306,nitrogenase iron protein [Methanobrevibacter arboriphilus],
9,65565472,nitrogenase iron protein [Methanospirillum hungatei],
10,65097490,nitrogenase iron protein [Methanospirillum sp. J.3.6.1-F.2.7.3],
11,58027523,nitrogenase iron protein [Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,
12,57209642,nitrogenase iron protein [Pectobacterium atrosepticum],
13,66686341,nitrogenase iron protein [Mesorhizobium japonicum R7A],
14,64294505,nitrogenase iron protein [Klebsiella quasipneumoniae],
15,66558925,nitrogenase iron protein [Klebsiella michiganensis],
16,60795032,nitrogenase iron protein [Dehalococcoides mccartyi CG4],
17,66379201,nitrogenase iron protein [Clostridium butyricum],
18,64336658,nitrogenase iron protein [Klebsiella grimontii],
19,44996749,nitrogenase iron protein [Clostridium acetobutylicum DSM 1731],
20,31489522,nitrogenase iron protein [Rhodobacter capsulatus SB 1003],
21,29419855,nitrogenase iron protein [Clostridium tyrobutyricum],
22,29418613,nitrogenase iron protein [Clostridium tyrobutyricum],
23,24886632,nitrogenase iron protein [Methanosarcina barkeri CM1],
24,7271977,nitrogenase iron protein [Methanosphaerula palustris E1-9c],
25,1479061,nitrogenase iron protein [Methanosarcina mazei Go1],
26,61599259,nitrogenase iron protein [Sinorhizobium meliloti 2011],
27,61514986,nitrogenase iron protein [Rahnella aquatilis CIP 78.65 = ATCC 33071],
28,29763669,nitrogenase iron protein [Cupriavidus taiwanensis LMG 19424],
29,9735509,nitrogenase iron protein [Dickeya dadantii 3937],
30,1475788,nitrogenase iron protein [Methanosarcina acetivorans C2A],
31,56451760,nitrogenase iron protein [Azospirillum brasilense],
32,70914963,nitrogenase iron protein [Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759],
33,69754478,nitrogenase iron protein [Klebsiella quasivariicola],
34,69732137,nitrogenase iron protein [Klebsiella variicola],
35,69525103,nitrogenase iron protein [Burkholderia vietnamiensis],
36,66895772,nitrogenase iron protein [Rhodopseudomonas palustris],
37,66892402,nitrogenase iron protein [Rhodopseudomonas palustris],
38,66478756,nitrogenase iron protein [Bradyrhizobium canariense],
39,66432510,nitrogenase iron protein [Acidithiobacillus ferrooxidans],
